dataX	dataY
2014-12-29	3076
2014-12-30	2705
2014-12-31	1976
2015-01-01	1637
2015-01-02	2241
2015-01-03	1264
2015-01-04	1530
2015-01-05	2658
2015-01-06	2895
2015-01-07	2289
2015-01-08	2771
2015-01-09	4152
2015-01-10	1663
2015-01-11	1728
2015-01-12	3526
2015-01-13	2968
2015-01-14	3392
2015-01-15	3781
2015-01-16	3361
2015-01-17	2124
2015-01-18	1958
2015-01-19	3354
2015-01-20	3582
2015-01-21	2932
2015-01-22	3741
2015-01-23	3725
2015-01-24	1978
2015-01-25	1886
2015-01-26	3649
2015-01-27	2870
